Turf name,Ratings,Details ,Contact ,sports type,Reviews,Maps Directions,yYlJEf href 2
Orbit Play Arena,4.7,"Ring Road, Cross Circle, beside Om Sai Water Plant, Naganalli, Kalaburagi, Karnataka 585102",8884201437,footbal and cricket,"""Best place to hangout and great warmup one of the best  in Gulbarga""","https://www.google.com/maps/dir//8R2V%2BVR+Orbit+Play+Arena,+Ring+Road,+Cross+Circle,+beside+Om+Sai+Water+Plant,+Naganalli,+Kalaburagi,+Karnataka+585102/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8c1199e6ea36f:0x57072f67e841e033?sa=X&ved=1t:57443&ictx=111",
MASTER TURF,5,"Msk Mill, Master Truf Cricket Ground Zafrabad Cross, Kalaburagi, Karnataka 585103",9980571708,footbal and cricket,"""Such a good turf and a good price to play long cricket 👍""","https://www.google.com/maps/dir//MASTER+TURF,+Msk+Mill,+Master+Truf+Cricket+Ground+Zafrabad+Cross,+Kalaburagi,+Karnataka+585103/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8b9004d45d3af:0x31065b95ec4354f1?sa=X&ved=1t:57443&ictx=111",
HR Sport's Arena,4.4,"Misbah Nagar Chowk, Ring Rd, opposite Cold Storage, Misbaha Colony, Kalaburagi, Karnataka 585103",9611126654,footbal and cricket,"""The largest  in Gulbarga and easily reachable by everyone.""","https://www.google.com/maps/dir//HR+Sport's+Arena,+Misbah+Nagar+Chowk,+Ring+Rd,+opposite+Cold+Storage,+Kalaburagi,+Karnataka+585103/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8b9026fb354f1:0xe48527db6c5e859?sa=X&ved=1t:57443&ictx=111",https://instagram.com/hr_sports_arena?igshid=YmMyMTA2M2Y=
Phoenix Multi Sports Turf,4.6,"Hagarga Rd, near Inamdar Public School, Kalaburagi, Karnataka 585104",7349481411,footbal and cricket,"""Nice playing conditions and enjoyed at lot while batting""","https://www.google.com/maps/dir//Phoenix+Multi+Sports+Turf,+Hagarga+Rd,+near+Inamdar+Public+School,+Kalaburagi,+Karnataka+585104/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8c74797e450dd:0x696d24a98a2062d9?sa=X&ved=1t:57443&ictx=111",
KTS Sports Academy,4.7,"4th Cross Road, Malgatti Cross, Hagarga Rd, Noor Khan Colony, Kalaburagi, Karnataka 585104",9902029343 / 8123458030,footbal and cricket,"""Clean washroom and cheapest  in the city""","https://www.google.com/maps/dir//KTS+Sports+Academy,+4th+Cross+Road,+Malgatti+Cross,+Hagarga+Rd,+Noor+Khan+Colony,+Kalaburagi,+Karnataka+585104/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8c7df91756bf7:0x79ad508d32688cec?sa=X&ved=1t:57443&ictx=111",https://sites.google.com/view/kts-sports-academy/home
F1 Sports Arena,5,"Villa Night Restaurant, Ring Rd, beside F1, Jagriti Colony, Azadpur, Kalaburagi, Karnataka 585105",8217854160,footbal and cricket,"""Very good experience in this arena...""","https://www.google.com/maps/dir//F1+Sports+Arena,+Villa+Night+Restaurant,+Ring+Rd,+beside+F1,+Kalaburagi,+Karnataka+585105/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8c7dd2d12ee8b:0x187bf07a6ae5ad67?sa=X&ved=1t:57443&ictx=111",https://www.instagram.com/f1sportsarena
S M Turf Zone Box Cricket Let's Play,4.3,"Hundakar Colony, Kalaburagi, Karnataka 585104",8884040983,footbal and cricket,"""Biggest im town
Best Turf in gulbarga""","https://www.google.com/maps/dir//8VRH%2BQ7+S+M+Turf+Zone+Box+Cricket+Let's+Play,+Kalaburagi,+Karnataka/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8c7005fc08c9d:0x48ccfb929101c6ef?sa=X&ved=1t:57443&ictx=111",https://chat.whatsapp.com/KwHNzQvW7WxLwGsqwigsQB?fbclid=PAZXh0bgNhZW0CMTEAAaZSrY4YZwqHC88f-gNUxxSnB3Vtuk5GwU1MscaYzTlFhH9sJ5-7S9UegXU_aem_AeAvvthTHV9WpLeoH6RCTTVPGDlxcPzHWzzc9_kayu6pK6ZldbI3YPwadLOZ63z34ggxmno6adxBkG1obpA5NMvy
CAP Gulbarga ground,5,"Cricket Academy of pathan's Ground, beside KCT pharmacy, Khaja Colony, Kalaburagi, Karnataka 585104",8904197007,cricket,"""Best academy of cricket""","https://www.google.com/maps/dir//CAP+Gulbarga+ground,+Cricket+Academy+of+pathan's+Ground,+beside+KCT+pharmacy,+Kalaburagi,+Karnataka+585104/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8c7a53344642d:0xdd82e4f27b1f331a?sa=X&ved=1t:57443&ictx=111",http://cricketacademyofpathans.com/
Deccan Sports Club,4.3,"near mam garden, Malgathi, Kalaburagi, Karnataka 585104",9740694117,footbal and cricket,"""Overall good.""","https://www.google.com/maps/dir//Deccan+Sports+Club,+road,+near+mam+garden,+Malgathi,+Kalaburagi,+Karnataka+585104/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8c7853a2d463b:0xff8b7e558308dacd?sa=X&ved=1t:57443&ictx=111",
M.K.S ARCADE ( Cricket & Football Turf ),4.2,"Kalaburagi, Karnataka",9606067516/ 7795598055,footbal and cricket,"""Turf Cricket Ground is a top-tier venue for sports enthusiasts.""","https://www.google.com/maps/dir//M.K.S+ARCADE+(+Cricket+%26+Football+Turf+),+Kalaburagi,+Karnataka+585103/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8b900081cabc7:0x34da00dedaa4fff1?sa=X&ved=1t:57443&ictx=111",
Gulbarga Mystics - Cricket Team,4,"Ground, Sayyid, Akbar Husayni, KBN Turf, Campus, Santraswadi, Kalaburagi, Karnataka 585104",,footbal and cricket,,"https://www.google.com/maps/dir//Ground,+Sayyid,+Gulbarga+Mystics+-+Cricket+Team,+Akbar+Husayni,+KBN+Turf,+Campus,+Santraswadi,+Kalaburagi,+Karnataka+585104/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bc8c7b691f7269b:0x82f6e351c30d00b?sa=X&ved=1t:57443&ictx=111",https://www.instagram.com/gulbargamystics/
A to Z sport Zone,5,"Naganalli Cross, Kalaburagi, Karnataka 585102",86604 00019,footbal and cricket,,https://maps.app.goo.gl/gSohr3g23AVd3AYK9,
Ali's Turf,5,"Malgathi, Karnataka 585104",89710 31036,footbal and cricket,,https://maps.app.goo.gl/9WsRUEQyRN6GdrgaA,
Green Space TURF,4.4,"Malgathi, Karnataka 585105",7195485522/9071158555,cricket/football/volleyball,,https://maps.app.goo.gl/Yp65yS68mYFprXMNA,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
